time,temp
0,22.502312186
0.25,22.502312186
0.5,22.502312186
0.75,22.4775507295
1,22.502312186
1.25,22.502312186
1.5,22.502312186
1.75,22.502312186
2,22.502312186
2.25,22.502312186
2.5,22.502312186
2.75,22.5270717518
3,22.502312186
3.25,22.502312186
3.5,22.502312186
3.75,22.502312186
4,22.502312186
4.25,22.502312186
4.5,22.5270717518
4.75,22.5270717518
5,22.5270717518
5.25,22.502312186
5.5,22.502312186
5.75,22.5270717518
6,22.5270717518
6.25,22.5270717518
6.5,22.5270717518
6.75,22.502312186
7,22.5270717518
7.25,22.5270717518
7.5,22.5270717518
7.75,22.5270717518
8,22.502312186
8.25,22.5270717518
8.5,22.5270717518
8.75,22.5270717518
9,22.5270717518
9.25,22.5270717518
9.5,22.502312186
9.75,22.5270717518
10,22.5270717518
10.25,22.5270717518
10.5,22.5270717518
10.75,22.5270717518
11,22.502312186
11.25,22.5270717518
11.5,22.5270717518
11.75,22.5270717518
12,22.5270717518
12.25,22.502312186
12.5,22.502312186
12.75,22.5270717518
13,22.5270717518
13.25,22.5270717518
13.5,22.5270717518
13.75,22.502312186
14,22.5270717518
14.25,22.5270717518
14.5,22.5270717518
14.75,22.5270717518
15,22.5270717518
15.25,22.5270717518
15.5,22.5270717518
15.75,22.5270717518
16,22.5270717518
16.25,22.5270717518
16.5,22.5270717518
16.75,22.5270717518
17,22.5270717518
17.25,22.5270717518
17.5,22.5270717518
17.75,22.5270717518
18,22.5270717518
18.25,22.5270717518
18.5,22.5270717518
18.75,22.5270717518
19,22.5270717518
19.25,22.5270717518
19.5,22.5270717518
19.75,22.5270717518
20,22.5270717518
20.25,22.5270717518
20.5,22.502312186
20.75,22.502312186
21,22.502312186
21.25,22.5270717518
21.5,22.5270717518
21.75,22.5270717518
22,22.5270717518
22.25,22.502312186
22.5,22.502312186
22.75,22.5270717518
23,22.5270717518
23.25,22.5270717518
23.5,22.502312186
23.75,22.5270717518
24,22.502312186
24.25,22.5270717518
24.5,22.502312186
24.75,22.5270717518
25,22.502312186
25.25,22.502312186
25.5,22.502312186
25.75,22.5270717518
26,22.502312186
26.25,22.4775507295
26.5,22.502312186
26.75,22.4775507295
27,22.4061687605
27.25,21.8739128045
27.5,20.9995610668
27.75,20.123213659
28,19.340296014
28.25,18.6516146975
28.5,18.0596097808
28.75,17.5144200815
29,17.0660665437
29.25,16.6672957014
29.5,16.2913359655
29.75,15.9899471871
30,15.6877044109
30.25,15.4089812884
30.5,15.181471828
30.75,14.9273831222
31,14.7233204613
31.25,14.5449796564
31.5,14.340079133
31.75,14.1872595031
32,14.0326316204
32.25,13.877733245
32.5,13.7241128815
32.75,13.5951089748
33,13.4394228276
33.25,13.3630316431
33.5,13.2334747776
33.75,13.1287447601
34,13.077112242
34.25,12.9737491486
34.5,12.9204500984
34.75,12.8435747824
35,12.7917601118
35.25,12.7650546002
35.5,12.7131889347
35.75,12.6345399705
36,12.6077814906
36.25,12.5825887354
36.5,12.5306031582
36.75,12.5038092468
37,12.4770061478
37.25,12.4517712863
37.5,12.399698521
37.75,12.3728595134
38,12.3460111946
38.25,12.3460111946
38.5,12.3207336602
38.75,12.2938671942
39,12.2685725348
39.25,12.2685725348
39.5,12.2416878253
39.75,12.2416878253
40,12.2147936799
40.25,12.1894729003
40.5,12.1625603647
40.75,12.1894729003
41,12.1625603647
41.25,12.1625603647
41.5,12.1625603647
41.75,12.1372222311
42,12.1372222311
42.25,12.1372222311
42.5,12.1372222311
42.75,12.110291208
43,12.083350623
43.25,12.083350623
43.5,12.083350623
43.75,12.083350623
44,12.083350623
44.25,12.083350623
44.5,12.0579860202
44.75,12.0579860202
45,12.0579860202
45.25,12.0579860202
45.5,12.0579860202
45.75,12.0579860202
46,12.0310267995
46.25,12.0310267995
46.5,12.0579860202
46.75,12.0310267995
47,12.0310267995
47.25,12.0310267995
47.5,12.0310267995
47.75,12.0056446111
48,12.0310267995
48.25,12.0310267995
48.5,12.0056446111
48.75,12.0056446111
49,12.0056446111
49.25,12.0056446111
49.5,12.0056446111
49.75,12.0056446111
50,12.0056446111
50.25,12.0056446111
50.5,12.0056446111
50.75,12.0056446111
51,12.0056446111
51.25,12.0056446111
51.5,11.9786666565
51.75,11.9786666565
52,12.0056446111
52.25,12.0056446111
52.5,12.0056446111
52.75,11.9786666565
53,12.0056446111
53.25,11.9786666565
53.5,12.0056446111
53.75,12.0056446111
54,11.9786666565
54.25,12.0056446111
54.5,12.0056446111
54.75,11.9786666565
55,12.0056446111
55.25,11.9786666565
55.5,11.9786666565
55.75,11.9786666565
56,11.9786666565
56.25,12.0056446111
56.5,11.9786666565
56.75,12.0056446111
57,11.9786666565
57.25,11.9786666565
57.5,12.0056446111
57.75,11.9786666565
58,12.0056446111
58.25,12.0056446111
58.5,11.9786666565
58.75,11.9786666565
59,12.0056446111
59.25,11.9786666565
59.5,12.0056446111
59.75,11.9786666565
60,11.9786666565
60.25,11.9786666565
60.5,12.0056446111
60.75,11.9786666565
61,11.9786666565
61.25,11.9786666565
61.5,11.9786666565
61.75,11.9786666565
62,11.9786666565
62.25,11.9532667898
62.5,12.083350623
62.75,12.7383401444
63,13.5951089748
63.25,14.3662949857
63.5,15.0789978415
63.75,15.7120376629
64,16.2656217587
64.25,16.7667394309
64.5,17.1906899781
64.75,17.5892387518
65,17.9104666832
65.25,18.1832742844
65.5,18.4540580947
65.75,18.700591265
66,18.9230104091
66.25,19.1436280154
66.5,19.340296014
66.75,19.5116329148
67,19.6591969588
67.25,19.8051609461
67.5,19.9524769205
67.75,20.0746581022
68,20.1717565883
68.25,20.3187804565
68.5,20.4157548459
68.75,20.5126815243
69,20.6110289349
69.25,20.7078622634
69.5,20.7562620166
69.75,20.8544940886
70,20.9263069773
70.25,20.9995610668
70.5,21.0727909323
70.75,21.1211095638
71,21.1694179265
71.25,21.219179557
71.5,21.2674674155
71.75,21.3406119541
72,21.3888750509
72.25,21.41227186
72.5,21.4605206693
72.75,21.5102216451
73,21.5336068906
73.25,21.5584513145
73.5,21.6066717244
73.75,21.6315089642
74,21.6548829855
74.25,21.6797155554
74.5,21.7279131647
74.75,21.7761019022
75,21.7761019022
75.25,21.800922977
75.5,21.8242818779
75.75,21.8490984817
76,21.8739128045
76.25,21.8972653907
76.5,21.8972653907
76.75,21.922075328
77,21.9454238133
77.25,21.9702294215
77.5,21.9702294215
77.75,21.9702294215
78,22.0183751942
78.25,22.0183751942
78.5,22.0183751942
78.75,22.0431743502
79,22.0431743502
79.25,22.0665127549
79.5,22.0665127549
79.75,22.0913077231
80,22.0913077231
80.25,22.0913077231
80.5,22.1161005557
80.75,22.0913077231
81,22.1394330489
81.25,22.1394330489
81.5,22.1394330489
81.75,22.1394330489
82,22.1642217785
82.25,22.1642217785
82.5,22.1875504363
82.75,22.1642217785
83,22.1875504363
83.25,22.1875504363
83.5,22.1875504363
83.75,22.1875504363
84,22.2123351187
84.25,22.2123351187
84.5,22.2123351187
84.75,22.2356599937
85,22.2123351187
85.25,22.2356599937
85.5,22.2356599937
85.75,22.2356599937
86,22.2356599937
86.25,22.2356599937
86.5,22.2604406847
86.75,22.2604406847
87,22.2604406847
87.25,22.2852193413
87.5,22.2604406847
87.75,22.2604406847
88,22.2604406847
88.25,22.2852193413
88.5,22.2852193413
88.75,22.2852193413
89,22.2852193413
89.25,22.2852193413
89.5,22.2852193413
89.75,22.2852193413
90,22.3085385847
90.25,22.3085385847
90.5,22.3085385847
90.75,22.3085385847
91,22.3085385847
91.25,22.3085385847
91.5,22.3085385847
91.75,22.3085385847
92,22.3085385847
92.25,22.3085385847
92.5,22.3333133343
92.75,22.3333133343
93,22.3333133343
93.25,22.3333133343
93.5,22.3333133343
93.75,22.3333133343
94,22.3333133343
94.25,22.3333133343
94.5,22.3085385847
94.75,22.3333133343
95,22.3333133343
95.25,22.3333133343
95.5,22.3333133343
95.75,22.3333133343
96,22.3333133343
96.25,22.3333133343
96.5,22.3333133343
96.75,22.3333133343
97,22.3333133343
97.25,22.3566289266
97.5,22.3333133343
97.75,22.3333133343
98,22.3333133343
98.25,22.3566289266
98.5,22.3566289266
98.75,22.3333133343
99,22.3566289266
99.25,22.3566289266
99.5,22.3566289266
99.75,22.3566289266
100,22.3566289266
100.25,22.3566289266
100.5,22.3566289266
